STRAIN ID
NGCE-002
NGCE-003
NGCE-004
NGCE-005
NGCE-006
NGCE-007
NGCE-009
NGCE-032
NGCE-033
NGCE-034
NGCE-035
NGCE-056
NGCE-061
NGCE-065
NGCE-066
NGCE-068
NGCE-069
NGCE-079
NGCE-080
NGCE-084
NGCE-094
NGCE-100
NGCE-101
NGCE-102
NGCE-103
NGCE-112
NGCE-118
NGCE-137
NGCE-139
NGCE-148
NGCE-155
NGCE-159
NGCE-166
NGCE-171
NGCE-173
NGCE-174
NGCE-177
NGCE-179
NGCE-182
NGCE-187
NGCE-203
NGCE-205
NGCE-213
NGCE-214
NGCE-218
NGCE-219
NGCE-225
